headline	date	url	order	number_words	newspaper
«prever grandes engarrafamentos, caso se mantenham os acessos condicionados».	1999-04-21	https://arquivo.pt/noFrame/replay/19990421135501/http://www.expresso.pt/	10	9	EXPRESSO
Otelo conta as histórias loucas do 25 de Abril e do PREC	1999-04-21	https://arquivo.pt/noFrame/replay/19990421135501/http://www.expresso.pt/	6	12	EXPRESSO
Suspenso o certificado de navegabilidade dos aviões Concorde	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	28	8	EXPRESSO
Taur Matan Ruak será o novo comandante-chefe das Falintil	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	23	9	EXPRESSO
Jornalista cumpre pena de 5 meses de prisão	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	24	8	EXPRESSO
Arafat poderá adiar a proclamação do Estado independente da Palestina	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	25	10	EXPRESSO
Polícia de Macau prende raptores	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	26	5	EXPRESSO
Refém do grupo Abu Sayyaf libertada hoje	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	22	7	EXPRESSO
Governo brasileiro distribui testes rápidos para a sida	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	27	8	EXPRESSO
Um médico para 32 mil pessoas	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	29	6	EXPRESSO
Sampaio presta homenagem a Eça de Queirós	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	34	7	EXPRESSO
Chile goleia Brasil por 3-0	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	31	5	EXPRESSO
Brasil derrota Portugal por 97-75	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	32	5	EXPRESSO
Manuel Tiago lança novo romance na Festa do Avante	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	33	9	EXPRESSO
Saxofones de Aveiro exibem-se em Coimbra	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	35	6	EXPRESSO
